dates,stock GE_log_value,stock JPM_log_value,stock A_log_value,stock AA_log_value,stock AAPL_log_value,S&P index,option_spx_logimplvol_mtau_1,option_spx_logimplvol_mtau_2,option_spx_logimplvol_mtau_3,option_spx_logimplvol_mtau_4,option_spx_logimplvol_mtau_5,option_spx_logimplvol_mtau_6,option_spx_logimplvol_mtau_7,option_spx_logimplvol_mtau_8,option_spx_logimplvol_mtau_9,option_spx_logimplvol_mtau_10,option_spx_logimplvol_mtau_11,option_spx_logimplvol_mtau_12,option_spx_logimplvol_mtau_13,option_spx_logimplvol_mtau_14,option_spx_logimplvol_mtau_15,option_spx_logimplvol_mtau_16,option_spx_logimplvol_mtau_17,option_spx_logimplvol_mtau_18,option_spx_logimplvol_mtau_19,option_spx_logimplvol_mtau_20,option_spx_logimplvol_mtau_21,option_spx_logimplvol_mtau_22,option_spx_logimplvol_mtau_23,option_spx_logimplvol_mtau_24,option_spx_logimplvol_mtau_25,option_spx_logimplvol_mtau_26,option_spx_logimplvol_mtau_27,option_spx_logimplvol_mtau_28,option_spx_logimplvol_mtau_29,option_spx_logimplvol_mtau_30,option_spx_logimplvol_mtau_31,option_spx_logimplvol_mtau_32,option_spx_logimplvol_mtau_33,option_spx_logimplvol_mtau_34,option_spx_logimplvol_mtau_35,option_spx_logimplvol_mtau_36,option_spx_logimplvol_mtau_37,option_spx_logimplvol_mtau_38,option_spx_logimplvol_mtau_39,option_spx_logimplvol_mtau_40,option_spx_logimplvol_mtau_41,option_spx_logimplvol_mtau_42,option_spx_logimplvol_mtau_43,option_spx_logimplvol_mtau_44,option_spx_logimplvol_mtau_45,option_spx_logimplvol_mtau_46,option_spx_logimplvol_mtau_47,option_spx_logimplvol_mtau_48,option_spx_logimplvol_mtau_49,option_spx_logimplvol_mtau_50,option_spx_logimplvol_mtau_51,option_spx_logimplvol_mtau_52,option_spx_logimplvol_mtau_53,option_spx_logimplvol_mtau_54,option_spx_logimplvol_mtau_55,option_spx_logimplvol_mtau_56,option_spx_logimplvol_mtau_57,option_spx_logimplvol_mtau_58,option_spx_logimplvol_mtau_59,option_spx_logimplvol_mtau_60,option_spx_logimplvol_mtau_61,option_spx_logimplvol_mtau_62,option_spx_logimplvol_mtau_63,option_spx_logimplvol_mtau_64,option_spx_logimplvol_mtau_65,option_spx_logimplvol_mtau_66,option_spx_logimplvol_mtau_67,option_spx_logimplvol_mtau_68,option_spx_logimplvol_mtau_69,option_spx_logimplvol_mtau_70,option_spx_logimplvol_mtau_71,option_spx_logimplvol_mtau_72,option_spx_logimplvol_mtau_73,option_spx_logimplvol_mtau_74,option_spx_logimplvol_mtau_75,option_spx_logimplvol_mtau_76,option_spx_logimplvol_mtau_77,option_spx_logimplvol_mtau_78,option_spx_logimplvol_mtau_79,option_spx_logimplvol_mtau_80,option_spx_logimplvol_mtau_81,option_spx_logimplvol_mtau_82,option_spx_logimplvol_mtau_83,option_spx_logimplvol_mtau_84,option_spx_logimplvol_mtau_85,option_spx_logimplvol_mtau_86,option_spx_logimplvol_mtau_87,option_spx_logimplvol_mtau_88,option_spx_logimplvol_mtau_89,option_spx_logimplvol_mtau_90,t_first,tau,m,l_bar,y
2009-11-02,2.5786246536617523,3.695604291622137,3.2141687640187833,2.4905324618562337,5.234546550649373,6.9497413956491965,-1.6218033957284717,-1.6428872350131372,-1.6488672577753014,-1.65991229010899,-1.6802697222768097,-1.6945260772425852,-1.7092085266045802,-1.714077219245005,-1.6812329984548013,-1.6647220888303198,-1.5457044935541808,-1.558215193035945,-1.5695814564697723,-1.5739533761709785,-1.5794982790686058,-1.5838741096838984,-1.5868734870548211,-1.5860326948011143,-1.5685394179108585,-1.5557824687230122,-1.4678678465039017,-1.474100858308137,-1.4871332835042534,-1.4873306000141018,-1.4842626768142528,-1.4826757982241912,-1.4785342192823554,-1.4745120057040735,-1.4665368853409586,-1.456874072104362,-1.389074530397579,-1.390945235967683,-1.402709429099105,-1.400767028978499,-1.393937341577155,-1.3893453454394347,-1.3813814768006927,-1.375978576657954,-1.3733154484148258,-1.3662535577730177,-1.3099606192064617,-1.3090451056566634,-1.3172815482089357,-1.314819502645292,-1.3080014009895282,-1.302667620373571,-1.2933757120588456,-1.2879272420456755,-1.2874358364232517,-1.2825964338970655,-1.2310339336782463,-1.2286136842076891,-1.2316252284727462,-1.2299070066815998,-1.2260160948569043,-1.2216908707329153,-1.2129892800014566,-1.208518624610722,-1.2077864672353975,-1.2048727688184133,-1.1526922702160842,-1.1497981177204606,-1.1463454792844259,-1.1463367678168077,-1.1476080232468737,-1.1456556495182364,-1.1390482816777456,-1.1363624218294182,-1.1334909436149947,-1.132265836872087,-1.0752411929741248,-1.072693926737445,-1.061903824997318,-1.0643269921607659,-1.072456502547944,-1.0739462103106514,-1.0706311320387072,-1.070382275196729,-1.0638460500969225,-1.064117045689391,-0.9989103211826652,-0.9973567240678084,-0.9786440823644369,-0.9840259813134672,-1.0002838710463056,-1.0060563519451227,-1.0070010640095113,-1.0097279346984935,-0.9982789253753074,-0.9998875721110906,2009-11-02,0.082191781,-0.3013095772858194,9.0,0.01
2009-11-03,2.5682055886433077,3.6984188094391213,3.212571997432821,2.5048563250956204,5.23158443946193,6.952164431949543,-1.6623690938903144,-1.6719316830254627,-1.662877293689314,-1.6655125724220925,-1.6796977770961323,-1.6868612151031117,-1.6971132719626645,-1.6972418343642952,-1.6671604270780513,-1.6510889271718576,-1.581467325852605,-1.5829585432690723,-1.5809817557383978,-1.5784913099084976,-1.5805057548160966,-1.580793817409251,-1.5803021574783769,-1.5765730559992535,-1.5590359360369777,-1.5466669626340233,-1.5027516977403257,-1.4978445620987144,-1.4983862144637177,-1.4927671318821498,-1.487624315028338,-1.4834929521724114,-1.4764026748795047,-1.4705419032942155,-1.461201270335451,-1.4517940115609975,-1.4261965848397054,-1.4162637441250165,-1.4157423466374777,-1.4086009203494927,-1.4002165243027211,-1.3935346076564057,-1.3829113658401606,-1.376168469068855,-1.3718452654698816,-1.3648434022390579,-1.351759321069401,-1.3379302649210016,-1.3335599437346408,-1.3261715706764117,-1.3176061168159445,-1.309817739144017,-1.2979895187372312,-1.2913027455471484,-1.2895965852756746,-1.2845718122816008,-1.279385517443896,-1.2625920597633251,-1.2522295484273196,-1.2455944558377723,-1.2392385407141115,-1.231473376722333,-1.2202468459322926,-1.2143425560116488,-1.2133919128545414,-1.2100075361088278,-1.2090130572798907,-1.1900256537001974,-1.1720436466876722,-1.1669363107725252,-1.1646531608055655,-1.1578036184648184,-1.1486065737707958,-1.1440619974686546,-1.1423900946058638,-1.1403767096382569,-1.1405750783179325,-1.1200319532112972,-1.093215456463441,-1.0902270526535105,-1.0934629881382933,-1.0882394414378531,-1.0822177378708182,-1.0795021927206603,-1.0759142592406756,-1.0750529982397226,-1.0740021825535064,-1.0524327910339908,-1.0158949918432871,-1.0154690637597643,-1.0253396142165137,-1.0223107680374905,-1.0203961528612921,-1.0198990246726503,-1.0134116395090305,-1.013522326373073,,0.164383562,-0.2116673652891622,,
2009-11-04,2.5590860479622517,3.686877451443263,3.2133727104723,2.4953106730867227,5.243169283579376,6.953206541886054,-1.6473516243194475,-1.6646583634107275,-1.661592331857231,-1.6761603432630934,-1.6940222835610814,-1.6993319158511067,-1.7027232421230822,-1.700979760489845,-1.6714990416697355,-1.6570190540145495,-1.5717051812034912,-1.5792676828833367,-1.5823417104159085,-1.5857100814808422,-1.5894046656468253,-1.5880389854581525,-1.5832840430684123,-1.5782331204877285,-1.5606102220415503,-1.5495295621752996,-1.49837802106051,-1.4975195902591492,-1.5017606520190945,-1.4977507440772078,-1.492943588104737,-1.487547222565724,-1.477893712469165,-1.470883528410636,-1.4610983914275795,-1.4527643462217457,-1.4272659001434416,-1.4191059007418652,-1.420598373493259,-1.4123023608161096,-1.4033658553327273,-1.3959154306818875,-1.383736148634679,-1.3757348932362878,-1.3708721759543774,-1.364801674681225,-1.3582669552760338,-1.3437569308060435,-1.339454098598899,-1.329347152131093,-1.3196776750256918,-1.3116829862446333,-1.2987674840753902,-1.2904983817389324,-1.28836874665098,-1.2841942484159852,-1.2912826554139831,-1.2712352234963067,-1.2587975019452173,-1.2488409120161412,-1.2410883469579383,-1.2337232290137872,-1.2214572768361203,-1.213478677793637,-1.212389473241036,-1.2098248376026566,-1.226218392919593,-1.2013305187739585,-1.1789893346056919,-1.1707214702028341,-1.1669583522182123,-1.1611488203171003,-1.1506297924742623,-1.1433851400208916,-1.1419948733967205,-1.140812967490579,-1.162983817296457,-1.1338556810172848,-1.1003006260773802,-1.0949149382665324,-1.0967630403392983,-1.0932484201720285,-1.0853622430175236,-1.0792125681210387,-1.076434904089642,-1.076452414618477,-1.1014929863790923,-1.0686433710706447,-1.0229296827630097,-1.0213402871994857,-1.03006660739842,-1.0294430147496445,-1.024917089733796,-1.020162891183759,-1.0151012220666236,-1.0161680584947077,,0.249315068,-0.12202515329250499,,
2009-11-05,2.5758588625849344,3.725452434344777,3.2555818403564722,2.5252325212595657,5.259945493028436,6.9722594245288745,-1.755015190552798,-1.7640773894349262,-1.7429899937983337,-1.7381479145521215,-1.7431366239290784,-1.7424296337222078,-1.745898638867559,-1.7434430477739797,-1.7043070223276675,-1.6848779710688828,-1.675503762043665,-1.6738991188614294,-1.657424907221315,-1.6467907584409258,-1.641438066295238,-1.6329731855597425,-1.6238747032550995,-1.6162233478066226,-1.5899379230731747,-1.5749818939171125,-1.594495116129202,-1.5841951153980378,-1.5691120162549455,-1.5550402497212337,-1.5438013067638712,-1.530906650691978,-1.5144100622111778,-1.50401472695918,-1.4865095293714632,-1.4748067826436047,-1.51278281421771,-1.495485477816489,-1.4792929996139255,-1.4636648190156314,-1.4500011347991022,-1.435194490455939,-1.4150986357100803,-1.4037130198031815,-1.3920483216469652,-1.3826929878561656,-1.4310026935765061,-1.408150144932488,-1.3889567950222224,-1.3732408455323195,-1.3598152779825305,-1.3450112603249857,-1.3241662839544381,-1.3130878195057887,-1.305071553003636,-1.2973740282437398,-1.3496538074123265,-1.3224578824895645,-1.2988705428989225,-1.2841891001306598,-1.2730291385121946,-1.2596878449357551,-1.2402672067891103,-1.230482502963338,-1.224436896428559,-1.2178614102598628,-1.2691199235172574,-1.2385907020091245,-1.2096147083204827,-1.1968070510814848,-1.189438480397465,-1.1786739102165837,-1.162356261664133,-1.1546328737100269,-1.1492455958250238,-1.1433687636958692,-1.1896897252584129,-1.1566638322213911,-1.1216173251671682,-1.111296151716724,-1.108850781841938,-1.1015110300327577,-1.0896055750221192,-1.084552239398317,-1.078777783644497,-1.0732602130036721,-1.1115747871843384,-1.0767417171931262,-1.0351847519732673,-1.0277841575591327,-1.0310857291117645,-1.0278130368388223,-1.0213481987520758,-1.0194557034605083,-1.012447939582387,-1.00701424885338,,0.334246575,-0.03238294129584779,,
2009-11-06,2.636360840210365,3.7165213717618713,3.2571114375847197,2.5252325212595657,5.2607660591612095,6.974759507762611,-1.797870490455736,-1.8026675251621957,-1.774224005145909,-1.7632028568271898,-1.7657734904878304,-1.7627289450501145,-1.7632399882611587,-1.758891235989576,-1.7138767000614576,-1.6906189875928284,-1.7175987794260876,-1.7090357682094204,-1.684231197733053,-1.6688931818591186,-1.6609152178965734,-1.6491828423297312,-1.636626127491072,-1.6276272374953176,-1.5969198060542533,-1.5793575959847144,-1.6370577087948737,-1.6178647279153664,-1.593978317037135,-1.5758972071609423,-1.5618602952501914,-1.5451227673100127,-1.5248152856274069,-1.5131960667866522,-1.4920590850189748,-1.4784766221272394,-1.5567684784455675,-1.5292281198836817,-1.5041698586674863,-1.4845961882882606,-1.4679563132536602,-1.4489686593750815,-1.4247637794376211,-1.411957453748569,-1.39701105792709,-1.3861457448818222,-1.4771365890515726,-1.443145246552374,-1.4153349577880143,-1.3952491977049422,-1.3786593152572968,-1.359508889295076,-1.334280121965398,-1.321340718698356,-1.3100834738737042,-1.3009803853413193,-1.3984711166809272,-1.359596722549081,-1.327860613308093,-1.3080219916408686,-1.293510512395305,-1.275793774207313,-1.2517338679901397,-1.2394629489642903,-1.2299873236130332,-1.2219077659504594,-1.3210022060911921,-1.2785362270138794,-1.2420210011461303,-1.2230100610333674,-1.212119000188319,-1.197064992086036,-1.1758790749835715,-1.1649036835955426,-1.1557180972733008,-1.148079783092403,-1.2448963100743584,-1.1998992159321198,-1.1580022083209935,-1.1402566880984435,-1.134148700109671,-1.1227072847477557,-1.1057421661313351,-1.096564923203881,-1.0864777683067723,-1.0788143354473567,-1.1702690938185412,-1.1236093341669997,-1.0759224834121255,-1.0597668957288522,-1.0593083363307345,-1.052214502825081,-1.040547909639913,-1.0335804059807798,-1.0216218124130434,-1.0135546363165124,,0.416438356,0.05725927070080944,,
2009-11-09,2.6697181596299218,3.7363330111361672,3.286852179877295,2.559550192783766,5.296751140656356,6.996754678544718,-1.8256350651998763,-1.8517483496984097,-1.8434871662606418,-1.8275099454434474,-1.8228550717544545,-1.8134816227555008,-1.8040361330366297,-1.7941193955490087,-1.7452095731379131,-1.7153394024559931,-1.7648362827047022,-1.7636773245998818,-1.743262314610252,-1.724119623827186,-1.7102042514721325,-1.6921822143449914,-1.6715560124636064,-1.6579214472261679,-1.6212511082995622,-1.5973832008380078,-1.694395221981249,-1.6735484219359091,-1.6449654509869513,-1.623698912495108,-1.6045700070659692,-1.5817781711347194,-1.5549235072428742,-1.5393876728898326,-1.5111807238387993,-1.4921083171294895,-1.6164537357018884,-1.5824882076452185,-1.5489259123048236,-1.5263489843668623,-1.5050548505403274,-1.4803372347599026,-1.4507836386269077,-1.4346142563214381,-1.4122174684181388,-1.3970720296554986,-1.5329901745425933,-1.491378327469778,-1.455347614502571,-1.4320915510163834,-1.410929982332987,-1.386403927906026,-1.3567456919042904,-1.340865780724007,-1.322340228016719,-1.3104758717758695,-1.4457364463146534,-1.4008912328775114,-1.3643420557074124,-1.3408938033126303,-1.3215947605160747,-1.2988543715245704,-1.2710457888549873,-1.2561510144605024,-1.2400338738499581,-1.2309572696074833,-1.3561459866835945,-1.3115268742206696,-1.2759536786894832,-1.2526864963529605,-1.2365477498489064,-1.2168024839607832,-1.1923452549669682,-1.1789753027292773,-1.164133297314035,-1.1574591489684178,-1.2653974042225533,-1.2236466005390796,-1.1901790578893405,-1.1673769373905458,-1.1553655805550604,-1.1395371750484595,-1.119604059793136,-1.1081880794303778,-1.0937232623698583,-1.0891449250878844,-1.1744191369071557,-1.137502584071045,-1.1069812478195802,-1.084858231940634,-1.0776872076018997,-1.0664790028384288,-1.051998100751975,-1.0428847617227734,-1.0280716969472272,-1.0253411481066157,,0.498630137,0.14690148269746667,,
2009-11-10,2.6652888272009037,3.7322669549068834,3.288334721082092,2.569247798221751,5.304264646367869,6.996690637265518,-1.7680430593845113,-1.7946716071347861,-1.7944604247907963,-1.7875708000035186,-1.7882029713387826,-1.7810300409583588,-1.7772165195984084,-1.773420928865692,-1.733850480818758,-1.7080691572536966,-1.7304987706884882,-1.7282907774656244,-1.712135106910009,-1.6967642592594554,-1.6853248118563755,-1.6690928005584202,-1.6524057102067329,-1.6421945461665293,-1.611631598994,-1.5916274372067398,-1.6771764313894193,-1.653375626005815,-1.6261721959118807,-1.605320671980139,-1.5867281129851054,-1.5652314689509426,-1.5409843556701641,-1.5272792815142202,-1.5033411251918,-1.487681670923031,-1.6105310014422707,-1.5720116335432806,-1.5379549105052568,-1.5140600748399768,-1.492145538772945,-1.4682438030811122,-1.440313921321412,-1.4251862992155346,-1.4061887211349895,-1.393840418094218,-1.533228846023727,-1.4860668482528137,-1.4486081655720704,-1.4236024663840268,-1.401321450352353,-1.3771841463545171,-1.3484665617759088,-1.3334401341664799,-1.3181471641853657,-1.3083393183345122,-1.4478746679158707,-1.3971372794072991,-1.359021467275198,-1.334404470905111,-1.314014696997154,-1.291294784032539,-1.2639907833385955,-1.250220668637807,-1.237697185176641,-1.2298393645987467,-1.3568261566676294,-1.3065359202836606,-1.269880668306722,-1.2467924312825873,-1.229999807044796,-1.2099588596063584,-1.185766379410634,-1.1741504678651422,-1.1636707750927973,-1.1573002900115843,-1.262097884545478,-1.2153096534878274,-1.181701809122706,-1.160990700535323,-1.1490671895352687,-1.1326671999854443,-1.1129107014591455,-1.1041619435456975,-1.095150610326311,-1.0898978195870812,-1.1653353631019063,-1.1242707662858846,-1.0948631141403244,-1.0771449789613727,-1.0710227414120985,-1.0589943900102987,-1.044715899184729,-1.0394108848667065,-1.031403082188096,-1.0269677263723989,,0.747945205,0.23654369469412384,,
2009-11-11,2.6684566184417333,3.7356556869224056,3.30522965238622,2.566271559889606,5.305595814266734,7.0017099951059425,-1.73822082618532,-1.7718903332910456,-1.7708760271613946,-1.765819726429231,-1.7680328407402,-1.7628741816288023,-1.7580662356114536,-1.7505078419506004,-1.7099044773535161,-1.6859734304281795,-1.7112742042024351,-1.710337282027566,-1.692295317655457,-1.6792313237814007,-1.669092119434347,-1.653750420604985,-1.6363819289990376,-1.6246258156007152,-1.5936083726531778,-1.5740550352322624,-1.6647898755010018,-1.6383573188137976,-1.6088964003232675,-1.5901960956952956,-1.5725663479759031,-1.5514673185492012,-1.5270046305766753,-1.5130470337344593,-1.4889840189817873,-1.4730274957040395,-1.6013816075202016,-1.558299265097923,-1.5222543150057766,-1.4999042730574026,-1.4786285552159601,-1.4551368850767346,-1.4275990935175407,-1.4128714142450556,-1.3938628720229256,-1.3809266297298497,-1.524189369134212,-1.4723350297659124,-1.4336808805874424,-1.4092970074129487,-1.3873650032706657,-1.364040073381804,-1.336438374231782,-1.3220003199915324,-1.3066299291465786,-1.2962761068385904,-1.4364526140567229,-1.382360690485831,-1.3442347467865023,-1.319099417359256,-1.2987996851590256,-1.2775858437353185,-1.2522093219391395,-1.238866000436269,-1.2260500166247859,-1.2179381684595423,-1.3411897275080946,-1.2899587498385643,-1.254747411464073,-1.229856376665044,-1.2129126890266724,-1.1952819913249777,-1.17389009160267,-1.1622663714831447,-1.1511572904346035,-1.1450174111141136,-1.2410125541636365,-1.1964029273537722,-1.16585597760863,-1.141966569931623,-1.1296538181228364,-1.1167138918193527,-1.1006698725951336,-1.0912594549923804,-1.081182209745051,-1.0767964931178484,-1.1380577746495375,-1.1026875400820473,-1.078036716761082,-1.0557126232685499,-1.0489526055340417,-1.0415287112394833,-1.03189449360666,-1.0250933590263545,-1.0155016975721607,-1.0126918417497097,,1.0,0.32618590669078107,,
2009-11-12,2.663387507196017,3.7123737880795433,3.304135668819024,2.5489997592445146,5.2993768051447265,6.99139765391878,-1.6783654220119313,-1.7034467092919725,-1.6997040798473404,-1.7030436052871958,-1.7087123095185912,-1.7081108825736704,-1.7055997781139605,-1.6999216967601447,-1.6666598050300083,-1.6493219102025396,-1.6456135093654685,-1.646227659866972,-1.6326873880137438,-1.624880343810799,-1.618087043192054,-1.6079142252851095,-1.5949958321959827,-1.5856954328528798,-1.5611358275415617,-1.5469905249888154,-1.5974597945339482,-1.5788914989344054,-1.5578448788076058,-1.5427853005101204,-1.5283765809454635,-1.5124656920453823,-1.4933794366671824,-1.4820541001694947,-1.463742355986189,-1.4519327470411514,-1.5360647752607464,-1.5035550349186673,-1.4771181602811747,-1.458103678617562,-1.439997354890405,-1.42133832225224,-1.39928964134419,-1.3871202354353775,-1.3732175240419577,-1.3630889424380126,-1.4638525136526552,-1.4222112883702553,-1.3922343393306742,-1.3719495397324024,-1.3532451664790046,-1.3341599403721438,-1.3115986828200246,-1.2994767516300718,-1.2885754536074925,-1.2796192704595917,-1.3832560535457965,-1.3366326772489292,-1.3046638684480458,-1.2852200749228393,-1.268321604728476,-1.2506042187243072,-1.2294176426848862,-1.2180276992271217,-1.209031078780699,-1.2008466147442927,-1.2965315768752357,-1.2483266194245053,-1.2156152200362722,-1.1986203044002466,-1.1853557219639965,-1.1703834815497165,-1.1520333078572356,-1.141907987836145,-1.133948948995858,-1.1262169247578662,-1.2056502908228253,-1.1585298980268914,-1.1260526782702027,-1.1126916506935034,-1.104421422114135,-1.0932428606702917,-1.0788646136819013,-1.070422759706188,-1.0628073803277491,-1.055270957865947,-1.1122563762187125,-1.068227283183254,-1.0367259907940911,-1.0278402767504735,-1.0255511859277566,-1.0189555105941426,-1.0094318048903814,-1.0030054450763055,-0.995172744162591,-0.9876237014468658,,1.498630137,0.4158281186874383,,
2009-11-13,2.657654749147522,3.7030929619285056,3.3462553333978633,2.547482308270481,5.311480353074318,6.997120550054727,-1.7133373468261879,-1.7384683175523992,-1.7259898357263133,-1.7270305358504892,-1.7326252240737514,-1.7289763622943006,-1.7266336079117477,-1.722018636163065,-1.6787330352786287,-1.6577548603664454,-1.6875240773102202,-1.679957382819238,-1.6560780749277533,-1.6455828812469522,-1.637087863074837,-1.6239285261361132,-1.6095420370370621,-1.6002261643315612,-1.5704104763109423,-1.5538835439257757,-1.6420482935705156,-1.6101687533143363,-1.5785669888249436,-1.560577020945142,-1.5435279582780592,-1.5247560608674773,-1.5033302157451618,-1.4913090964812283,-1.470523100243688,-1.4571770323809312,-1.5794825329334,-1.5315266424733243,-1.495440991828746,-1.4733526541064104,-1.452175042813572,-1.4307893226683843,-1.406049538053954,-1.3927716895541233,-1.3777447104197913,-1.3666139231173329,-1.5029508057017655,-1.4463148726288237,-1.4084420766235812,-1.3850020828957783,-1.363166409365541,-1.3414715248189377,-1.3162340713566187,-1.302780310199196,-1.2910430845543264,-1.2813815633294225,-1.4156978863507246,-1.3565539952459829,-1.319035498810279,-1.296391712292243,-1.2765711407329372,-1.2563341994381405,-1.2327531833381604,-1.2199481388313937,-1.209598863250322,-1.200822491225356,-1.3207614287930753,-1.2639468075062303,-1.2284118118993688,-1.20819200109781,-1.1924086039476793,-1.1749790561568136,-1.1547164493587696,-1.143200841190364,-1.1327506264375158,-1.124397044083409,-1.2207791527263225,-1.1698736820426316,-1.137510551326988,-1.1209095140736,-1.1106625067932978,-1.0970643245025136,-1.081410051452176,-1.0716892100137232,-1.0599566235183944,-1.0516566073458447,-1.117914702774434,-1.0754181022968263,-1.0470540951518763,-1.0349173532013907,-1.0312914802442033,-1.0222943046665407,-1.0122529277628338,-1.0047303499290252,-0.9907674420431641,-0.9822240643481231,,2.0,,,
