issuer,date,rating
00010283,10-Nov-1984,CCC
00010283,12-May-1986,B
00010283,29-Jun-1988,CCC
00010283,12-Dec-1991,D
00013326,09-Feb-1985,A
00013326,24-Feb-1994,AA
00013326,10-Nov-2000,BBB
00014413,23-Dec-1982,B
00014413,20-Apr-1988,BB
00014413,16-Jan-1998,B
00014413,25-Nov-1999,BB
00012126,17-Feb-1985,CCC
00012126,08-Mar-1989,D
00011692,11-May-1984,BB
00011692,05-Jun-1990,B
00011692,07-Dec-1997,BB
00010624,23-Nov-1982,AAA
00010624,02-May-1990,AA
00011015,23-May-1983,AAA
00011578,16-Feb-1984,B
00011578,25-Feb-1993,BB
00011578,06-Mar-1998,AA
00012413,02-Apr-1985,A
00012413,29-Jun-1998,AA
00014444,09-Apr-1985,BB
00014444,26-May-1990,BBB
00014444,25-Nov-2004,BB
00011183,22-Jan-1983,CCC
00011183,14-Jul-1988,BB
00011183,03-Mar-1994,A
00011183,29-Jun-1998,BBB
00011183,17-Dec-2000,A
00013943,15-Apr-1985,BB
00013943,07-Nov-1992,B
00014813,02-Apr-1985,BB
00014813,25-Dec-1998,BBB
00010546,16-Dec-1983,BB
00010546,09-Dec-2003,D
00010831,27-Oct-1984,A
00010831,29-May-2000,BBB
00010862,07-Jan-1983,B
00010862,09-Jul-1988,D
00012387,14-Oct-1983,AA
00012387,26-Apr-1998,AAA
00010991,19-Feb-1985,A
00010991,29-Sep-1990,BBB
00010991,25-Nov-1999,A
00011107,18-Oct-1984,BB
00012658,04-Apr-1985,BB
00012658,10-Nov-1999,AA
00010212,04-Jun-1984,A
00010212,23-Feb-2000,BBB
00010212,10-Nov-2000,A
00013533,22-Sep-1982,A
00014910,14-Dec-1984,BB
00014910,07-Aug-1986,B
00014910,17-Feb-1990,D
00011855,09-Mar-1985,AA
00011855,23-Jan-1998,A
00011855,08-Jun-2004,BBB
00012585,27-Jun-1984,BB
00012585,05-Nov-1993,BBB
00012585,16-Oct-1999,BB
00012250,14-Sep-1984,CCC
00012250,03-Sep-1989,B
00012250,24-Nov-1989,BB
00012250,20-Oct-1993,BBB
00012250,25-May-2000,BB
00012250,19-Oct-2000,BBB
00013143,30-Aug-1984,AA
00013143,11-Nov-1999,A
00013143,08-Apr-2004,BBB
00013112,14-Sep-1983,BB
00013112,31-May-1997,BBB
00013112,05-Aug-1998,A
00013112,21-Apr-2000,BBB
00013904,04-Jun-1984,AAA
00013904,14-Apr-1992,AA
00013904,06-Feb-2003,A
00011742,05-Feb-1983,BB
00011742,18-Nov-2002,B
00014843,24-Jul-1984,AAA
00014843,05-Feb-1992,AA
00014843,26-Jul-2002,A
00014843,05-Oct-2003,BBB
00014799,18-Sep-1982,BB
00012557,22-May-1983,BBB
00012557,29-Oct-1996,A
00010544,03-Oct-1982,BBB
00010544,25-Apr-1995,A
00010544,21-Feb-1996,AA
00010544,27-May-1997,AAA
00013429,23-Nov-1982,A
00013429,24-Jun-1990,BBB
00013429,29-Aug-1998,BB
00013429,25-Jan-2002,B
00013849,19-Nov-1984,CCC
00013849,22-May-1989,B
00013849,08-Apr-1995,BB
00013849,11-Nov-1998,BBB
00013849,27-Oct-2001,A
00010784,13-Jul-1984,BB
00012719,01-Jul-1983,BBB
00012719,22-May-2000,A
00012014,26-Mar-1985,A
00012014,04-Sep-1991,BBB
00012014,26-Dec-1995,A
00012680,21-Sep-1982,CCC
00012680,19-Aug-1983,D
00011047,31-Oct-1983,AA
00011047,16-Mar-1994,AAA
00011292,03-Sep-1983,CCC
