date,dprice_1,dprice_2,dprice_3,dprice_4,dprice_5,dprice_6,dprice_7,dprice_8,dprice_9,dprice_10,dprice_11,dprice_12,dprice_13,dprice_14,dprice_15,dprice_16,dprice_17,dprice_18,dprice_19,dprice_20,dprice_21,dprice_22,dprice_23,dprice_24,dprice_25,dprice_26,dprice_27,dprice_28,dprice_29,dprice_30,dprice_31,dprice_32,dprice_33,dprice_34
03-Jan-2012,105.76,109.236,101.904,108.701,102.544,105.983,110.217,109.435,110.082,109.352,107.042,110.793,105.585,100.622,119.701,109.229,102.531,111.722,103.458,104.701,113.88,113.38,113.487,112.316,117.636,113.95,112.203,104.019,107.588,105.699,118.81,110.424,109.103,123.729
04-Jan-2012,105.736,109.223,101.689,108.233,101.44,105.936,110.698,109.786,109.661,109.504,105.797,110.399,104.956,100.622,116.638,109.087,100.807,109.956,102.192,103.992,112.476,114.03,110.281,112.954,117.594,110.195,111.012,102.732,102.945,103.348,114.138,111.176,107.09,121.093
05-Jan-2012,105.627,109.236,101.564,108.39,101.378,105.938,110.019,109.576,110.065,109.617,105.785,110.508,104.942,100.622,117.915,109.213,100.915,110.358,102.52,103.759,113.544,113.388,112.547,113.26,115.783,110.221,112.588,103.518,102.516,103.473,118.141,107.814,106.782,116.787
06-Jan-2012,105.546,109.871,101.444,108.249,101.242,106.021,110.477,109.206,109.401,109.431,106.096,110.222,105.154,100.622,119.4,110.349,101.196,109.822,102.554,104.012,113.309,113.777,113.424,112.874,116.197,108.811,112.077,103.768,103.558,103.798,117.796,111.232,107.129,118.257
09-Jan-2012,105.74,109.881,101.614,108.284,101.269,106.132,110.54,109.372,109.02,109.294,106.143,109.687,105.248,100.622,115.883,109.354,101.173,109.898,102.832,104.188,112.88,113.392,113.958,112.592,116.521,110.383,111.148,107.86,104.08,104.269,115.879,111.133,107.832,118.686
10-Jan-2012,105.725,109.873,102.006,108.276,101.556,106.145,110.572,109.477,108.349,109.848,106.549,110.864,105.96,100.622,118.207,109.9,101.635,109.886,103.527,104.568,113.612,114.006,112.944,112.975,116.335,111.341,114.408,105.829,103.874,104.797,117.47,111.41,108.104,119.319
11-Jan-2012,103.824,109.921,101.63,108.288,101.35,106.202,110.584,110.392,108.966,109.649,106.488,110.726,106.022,100.622,118.207,108.61,101.672,110.125,103.304,105.809,113.788,114.814,113.959,113.532,116.919,111.84,114.195,105.849,104.417,105.512,119.229,112.719,106.817,120.554
12-Jan-2012,105.865,109.95,101.566,108.486,101.253,106.164,110.591,110.278,110.504,109.423,106.657,110.665,106.276,100.622,118.779,109.797,101.824,108.854,103.167,104.886,114.508,113.974,114.181,113.894,117.156,110.501,113.38,106.234,104.7,107.407,118.896,113.134,105.215,124.038
13-Jan-2012,105.655,109.926,101.712,108.461,101.558,106.206,110.682,109.554,110.126,109.336,106.628,110.739,106.162,100.622,118.779,110.1,102.249,109.889,103.587,104.655,114.49,115.044,112.817,115.129,116.255,112.198,112.423,104.899,104.014,105.063,119.414,112.242,108.89,120.59
17-Jan-2012,106.253,109.93,101.72,108.25,101.61,106.309,110.856,109.692,110.255,109.602,106.377,110.982,106.004,100.622,117.396,110.117,102.167,110.667,103.411,104.915,114.594,115.175,111.584,114.247,118.199,110.183,113.38,104.827,106.068,104.706,119.492,114.595,108.098,122.441
