,stock GE_log_value,stock JPM_log_value,stock A_log_value,stock AA_log_value,stock AAPL_log_value,S&P index
a,0.0780227244110395,0.0882646396290726,0.09324986146020646,0.0686048071476326,0.13278004734985105,0.01
b,0.8719772755889604,0.8617332478161763,0.8567501385397934,0.8813949364860695,0.7348972138082814,0.94
c,1.319346184489676e-05,2.13066812394781e-05,2.323088474425753e-05,2.6868899949580594e-05,3.735964069388215e-05,7.045683253623845e-06
mu,0.0010788531762066977,0.0005695790176029426,0.0014433738722940874,0.00012519375887249705,0.0025729649362120108,0.00042018976044983896
sig2_000,0.0002954623728462538,0.00039471820574582333,0.0004741968498874913,0.0006088195469913361,0.00027705148411144863,0.00013284783396614802
sig2_001,0.0002811447065530507,0.0003618933143853681,0.0004303609591361047,0.0005773102469832569,0.0002450319957479939,0.00013196276112442673
sig2_002,0.000266460185121387,0.0003461083803614489,0.0003919812095062325,0.0005421235107013382,0.00022821656596399436,0.0001310945465576389
sig2_003,0.0002647577183710007,0.0004470501720084414,0.0005140278300570548,0.0005656039513513176,0.00023186136421767304,0.00013374632945829188
sig2_004,0.000519562820250451,0.0004145116376460648,0.0004636249926219768,0.00052539043400303,0.00020816166570261624,0.00013281049251302044
sig2_005,0.0005475322627698417,0.00041118573168680994,0.0004951106542687472,0.0005701530000683665,0.0003385686682851715,0.00013654234427671176
sig2_006,0.0004929963705687068,0.00037753582617733105,0.00044741714943427596,0.0005356851987995521,0.00028941383232697197,0.0001353978316707305
sig2_007,0.00044341555874484825,0.0003473433490334611,0.0004288190524048984,0.0004996790231990626,0.00025025381449269446,0.0001345311684943892
sig2_008,0.000402790814027744,0.0003708371288001965,0.00039122202695254983,0.0004880470771951988,0.00023153421107459244,0.0001346568538437645
sig2_009,0.0003680380005645362,0.00034943372517686047,0.0005126979596544359,0.0004572162376531854,0.00021957416619385674,0.00013390431281580986
sig2_010,0.00036659241280882256,0.00032306326952580104,0.0005197141694679249,0.0005000220128191985,0.00020729499983810858,0.00013486001194956313
sig2_011,0.00033285595141989253,0.0003001340472436344,0.00047356346467973103,0.00047564214493338314,0.0001897814964186062,0.00013381658336403626
sig2_012,0.00030427787050256753,0.000281740036966012,0.0004337901556769985,0.00044609855334912246,0.00018452019115977744,0.00013284116830041605
sig2_013,0.0003156121097338464,0.0002989976815588926,0.00040993765431822696,0.0005307049897757691,0.0002876601127414444,0.0001338587738354719
sig2_014,0.00029948965072884294,0.00027959997673964907,0.0003820418473494535,0.0004979543774420553,0.00025280725445744304,0.0001330054466173038
sig2_015,0.0003276011221937895,0.0002926463952056369,0.000362401883656432,0.0004678137911834927,0.000318554229576636,0.00013378788243219154
sig2_016,0.00030091988968825424,0.0003061188028902961,0.00033445526362740284,0.0004473531084179644,0.00028368911034865263,0.00013281538760820258
sig2_017,0.000276132523626053,0.0002909371364354484,0.00031693497912462773,0.0004236701233867003,0.0002477518800110709,0.00013205810890548075
sig2_018,0.00027400826075537206,0.00030893320572981714,0.0003534065100345108,0.00044891613901635604,0.0002744963483415828,0.00013435008576806034
sig2_019,0.00025332327340394045,0.00035238941644252656,0.00032610167118933515,0.0004312171306399184,0.00024381651307292434,0.00013344803753678327
sig2_020,0.0002393827974724811,0.000329227169885488,0.0003276288139824507,0.00044012532155343674,0.0002546087855722989,0.00013382843499538325
sig2_021,0.00022606151987705365,0.00030992855605602935,0.00030393286905481447,0.0006908153051160592,0.00023059302137633608,0.000132844472295774
sig2_022,0.00021262923499912578,0.00030396992123501705,0.00028660367105823255,0.00068810123969929,0.00020704577054865293,0.0001327040997993741
sig2_023,0.00020864644104330457,0.0002883566520685569,0.0002702182945728455,0.000664928242668918,0.0002364017468325729,0.0001320450101025887
sig2_024,0.00020078445754012256,0.0002833165447978249,0.00025479604116393636,0.0006143142812724689,0.0002941634787335827,0.0001312516085890172
sig2_025,0.00023218108029620998,0.00026565901846458415,0.0002532145668642682,0.0005818014308133141,0.0002540004230860626,0.00013157237182109097
sig2_026,0.00021752851627772953,0.0002503320621813434,0.0002559357571941797,0.0005573703849388888,0.0004055530413420572,0.00013082904199714548
sig2_027,0.0002042986781504891,0.0002371916178162358,0.0002594658156717325,0.0005860893883368641,0.00034423132162060224,0.00013031685364197726
sig2_028,0.00021829975435851443,0.00023150781154142653,0.00024644063208076724,0.0009704477619891343,0.00030812678427332275,0.00012964954658725134
sig2_029,0.00020359609323847782,0.0002527150164344448,0.00024301226466806527,0.000895952958172293,0.0002751011967227678,0.00012934072890436146
sig2_030,0.0002053694253199203,0.00028414399163982586,0.0002327658701548906,0.0008229023308859845,0.00027580879732321456,0.00012898389065730702
sig2_031,0.0001941384319907641,0.00027802179772806095,0.00022578970173075456,0.0007670913275930275,0.000240323704344597,0.0001282955446811895
sig2_032,0.00018464382273096987,0.0003265512965415128,0.0002314550010006816,0.0007542500646620627,0.0002617045153058568,0.0001291566449004438
sig2_033,0.00018910488876229214,0.0003258001547438047,0.00022226261233937206,0.0006936475959105128,0.00026462578208148073,0.00012874374685204677
sig2_034,0.00017852371586000329,0.0003462005790079463,0.00023680147658727797,0.0010323221675086938,0.00024877145356424547,0.0001290705569324919
sig2_035,0.00017255316351476465,0.0003196524080682122,0.00023141262544204132,0.0009376839344997931,0.00022892196502051048,0.0001284704176033918
sig2_036,0.00016371492124600762,0.0003050184469345598,0.00022208810909589294,0.0008650828555904986,0.00021049489962222386,0.00012784306501718913
sig2_037,0.00015600766161160515,0.0002889058377801948,0.0002135240352172362,0.0008193312381096776,0.000321226179755987,0.00012745070093681557
sig2_038,0.00015370997822776404,0.0002721640155784,0.0002062370299511467,0.0007643092976885947,0.00028577875663983405,0.0001268547176956968
sig2_039,0.00014951794664838563,0.00025912079024922137,0.0002012354161961931,0.0007019037976617099,0.0002753169516448605,0.00012632232035834613
sig2_040,0.0001473110060651736,0.0002446133333630167,0.00024770314668090554,0.0006643777188158907,0.00025167996220212883,0.0001257891700180991
