dates,stock GE_log_value,stock JPM_log_value,stock A_log_value,stock AA_log_value,stock AAPL_log_value,S&P index,option_spx_logimplvol_mtau_1,option_spx_logimplvol_mtau_2,option_spx_logimplvol_mtau_3,option_spx_logimplvol_mtau_4,option_spx_logimplvol_mtau_5,option_spx_logimplvol_mtau_6,option_spx_logimplvol_mtau_7,option_spx_logimplvol_mtau_8,option_spx_logimplvol_mtau_9,option_spx_logimplvol_mtau_10,option_spx_logimplvol_mtau_11,option_spx_logimplvol_mtau_12,option_spx_logimplvol_mtau_13,option_spx_logimplvol_mtau_14,option_spx_logimplvol_mtau_15,option_spx_logimplvol_mtau_16,option_spx_logimplvol_mtau_17,option_spx_logimplvol_mtau_18,option_spx_logimplvol_mtau_19,option_spx_logimplvol_mtau_20,option_spx_logimplvol_mtau_21,option_spx_logimplvol_mtau_22,option_spx_logimplvol_mtau_23,option_spx_logimplvol_mtau_24,option_spx_logimplvol_mtau_25,option_spx_logimplvol_mtau_26,option_spx_logimplvol_mtau_27,option_spx_logimplvol_mtau_28,option_spx_logimplvol_mtau_29,option_spx_logimplvol_mtau_30,option_spx_logimplvol_mtau_31,option_spx_logimplvol_mtau_32,option_spx_logimplvol_mtau_33,option_spx_logimplvol_mtau_34,option_spx_logimplvol_mtau_35,option_spx_logimplvol_mtau_36,option_spx_logimplvol_mtau_37,option_spx_logimplvol_mtau_38,option_spx_logimplvol_mtau_39,option_spx_logimplvol_mtau_40,option_spx_logimplvol_mtau_41,option_spx_logimplvol_mtau_42,option_spx_logimplvol_mtau_43,option_spx_logimplvol_mtau_44,option_spx_logimplvol_mtau_45,option_spx_logimplvol_mtau_46,option_spx_logimplvol_mtau_47,option_spx_logimplvol_mtau_48,option_spx_logimplvol_mtau_49,option_spx_logimplvol_mtau_50,option_spx_logimplvol_mtau_51,option_spx_logimplvol_mtau_52,option_spx_logimplvol_mtau_53,option_spx_logimplvol_mtau_54,option_spx_logimplvol_mtau_55,option_spx_logimplvol_mtau_56,option_spx_logimplvol_mtau_57,option_spx_logimplvol_mtau_58,option_spx_logimplvol_mtau_59,option_spx_logimplvol_mtau_60,option_spx_logimplvol_mtau_61,option_spx_logimplvol_mtau_62,option_spx_logimplvol_mtau_63,option_spx_logimplvol_mtau_64,option_spx_logimplvol_mtau_65,option_spx_logimplvol_mtau_66,option_spx_logimplvol_mtau_67,option_spx_logimplvol_mtau_68,option_spx_logimplvol_mtau_69,option_spx_logimplvol_mtau_70,option_spx_logimplvol_mtau_71,option_spx_logimplvol_mtau_72,option_spx_logimplvol_mtau_73,option_spx_logimplvol_mtau_74,option_spx_logimplvol_mtau_75,option_spx_logimplvol_mtau_76,option_spx_logimplvol_mtau_77,option_spx_logimplvol_mtau_78,option_spx_logimplvol_mtau_79,option_spx_logimplvol_mtau_80,option_spx_logimplvol_mtau_81,option_spx_logimplvol_mtau_82,option_spx_logimplvol_mtau_83,option_spx_logimplvol_mtau_84,option_spx_logimplvol_mtau_85,option_spx_logimplvol_mtau_86,option_spx_logimplvol_mtau_87,option_spx_logimplvol_mtau_88,option_spx_logimplvol_mtau_89,option_spx_logimplvol_mtau_90,ge_bond_nel_sieg_theta_1,ge_bond_nel_sieg_theta_2,ge_bond_nel_sieg_theta_3,ge_bond_nel_sieg_theta_4,jpm_bond_nel_sieg_theta_1,jpm_bond_nel_sieg_theta_2,jpm_bond_nel_sieg_theta_3,jpm_bond_nel_sieg_theta_4
2009-11-02,2.5786246536617523,3.695604291622137,3.2141687640187837,2.4905324618562337,5.234546550649374,6.9497413956491965,-1.6218033957284732,-1.6428872350131387,-1.648867257775302,-1.6599122901089896,-1.6802697222768113,-1.694526077242584,-1.7092085266045778,-1.7140772192450031,-1.681232998454802,-1.664722088830318,-1.5457044935541815,-1.5582151930359456,-1.569581456469772,-1.573953376170978,-1.5794982790686063,-1.583874109683898,-1.586873487054821,-1.586032694801113,-1.5685394179108587,-1.555782468723011,-1.4678678465039017,-1.474100858308137,-1.487133283504253,-1.4873306000141011,-1.484262676814253,-1.4826757982241916,-1.478534219282356,-1.4745120057040724,-1.4665368853409588,-1.4568740721043616,-1.3890745303975789,-1.3909452359676826,-1.4027094290991045,-1.4007670289784986,-1.393937341577155,-1.389345345439435,-1.3813814768006936,-1.375978576657953,-1.3733154484148258,-1.3662535577730175,-1.3099606192064608,-1.309045105656663,-1.3172815482089355,-1.3148195026452916,-1.3080014009895278,-1.3026676203735716,-1.2933757120588465,-1.2879272420456749,-1.2874358364232514,-1.2825964338970657,-1.2310339336782454,-1.2286136842076891,-1.2316252284727465,-1.2299070066815996,-1.2260160948569037,-1.2216908707329155,-1.2129892800014568,-1.2085186246107216,-1.2077864672353973,-1.2048727688184138,-1.1526922702160831,-1.149798117720461,-1.1463454792844268,-1.1463367678168073,-1.147608023246873,-1.1456556495182366,-1.139048281677745,-1.136362421829418,-1.1334909436149945,-1.1322658368720873,-1.075241192974124,-1.072693926737446,-1.0619038249973194,-1.064326992160766,-1.0724565025479436,-1.0739462103106516,-1.0706311320387054,-1.070382275196729,-1.0638460500969222,-1.0641170456893914,-0.9989103211826648,-0.9973567240678104,-0.9786440823644388,-0.9840259813134672,-1.0002838710463051,-1.0060563519451222,-1.0070010640095084,-1.009727934698493,-0.998278925375307,-0.9998875721110908,,,,,,,,
2009-11-03,2.568205588643308,3.698418809439121,3.212571997432821,2.504856325095621,5.23158443946193,6.952164431949543,-1.6623690938903126,-1.6719316830254605,-1.6628772936893153,-1.665512572422093,-1.6796977770961292,-1.6868612151031146,-1.6971132719626636,-1.6972418343642912,-1.6671604270780511,-1.6510889271718567,-1.5814673258526042,-1.582958543269071,-1.5809817557383985,-1.5784913099084985,-1.5805057548160948,-1.5807938174092528,-1.5803021574783764,-1.5765730559992517,-1.5590359360369777,-1.5466669626340228,-1.5027516977403257,-1.4978445620987135,-1.4983862144637177,-1.4927671318821507,-1.487624315028337,-1.4834929521724125,-1.4764026748795047,-1.4705419032942146,-1.461201270335451,-1.451794011560997,-1.4261965848397054,-1.416263744125016,-1.4157423466374772,-1.4086009203494931,-1.4002165243027207,-1.3935346076564064,-1.3829113658401606,-1.3761684690688547,-1.3718452654698816,-1.364843402239058,-1.351759321069401,-1.3379302649210014,-1.3335599437346402,-1.3261715706764117,-1.3176061168159443,-1.3098177391440171,-1.2979895187372312,-1.2913027455471486,-1.2895965852756746,-1.2845718122816008,-1.2793855174438962,-1.2625920597633251,-1.2522295484273187,-1.245594455837772,-1.2392385407141115,-1.2314733767223336,-1.2202468459322924,-1.2143425560116492,-1.2133919128545416,-1.210007536108828,-1.2090130572798907,-1.1900256537001968,-1.1720436466876718,-1.1669363107725246,-1.1646531608055657,-1.1578036184648193,-1.1486065737707951,-1.144061997468655,-1.1423900946058636,-1.140376709638257,-1.140575078317932,-1.1200319532112963,-1.0932154564634409,-1.0902270526535092,-1.093462988138293,-1.0882394414378544,-1.0822177378708175,-1.0795021927206605,-1.0759142592406756,-1.0750529982397234,-1.0740021825535062,-1.0524327910339897,-1.0158949918432871,-1.0154690637597623,-1.025339614216513,-1.0223107680374923,-1.0203961528612913,-1.0198990246726505,-1.0134116395090305,-1.0135223263730744,,,,,,,,
2009-11-04,2.559086047962252,3.686877451443263,3.2133727104723,2.4953106730867227,5.243169283579376,6.953206541886054,-1.647351624319448,-1.6646583634107293,-1.6615923318572283,-1.6761603432630932,-1.6940222835610832,-1.6993319158511082,-1.7027232421230831,-1.7009797604898462,-1.6714990416697344,-1.6570190540145489,-1.5717051812034917,-1.5792676828833372,-1.5823417104159074,-1.5857100814808425,-1.5894046656468264,-1.5880389854581534,-1.5832840430684127,-1.578233120487729,-1.56061022204155,-1.5495295621752991,-1.49837802106051,-1.497519590259149,-1.5017606520190945,-1.4977507440772082,-1.4929435881047373,-1.487547222565724,-1.477893712469165,-1.470883528410636,-1.4610983914275792,-1.4527643462217452,-1.4272659001434416,-1.419105900741865,-1.42059837349326,-1.41230236081611,-1.4033658553327273,-1.3959154306818873,-1.3837361486346789,-1.3757348932362878,-1.3708721759543772,-1.3648016746812248,-1.3582669552760338,-1.3437569308060433,-1.3394540985989003,-1.3293471521310931,-1.3196776750256918,-1.311682986244633,-1.2987674840753902,-1.2904983817389324,-1.2883687466509794,-1.2841942484159854,-1.2912826554139831,-1.2712352234963071,-1.258797501945219,-1.2488409120161417,-1.2410883469579383,-1.2337232290137872,-1.2214572768361205,-1.2134786777936375,-1.2123894732410356,-1.209824837602657,-1.2262183929195936,-1.2013305187739594,-1.178989334605694,-1.170721470202834,-1.1669583522182123,-1.1611488203171003,-1.150629792474263,-1.1433851400208923,-1.1419948733967196,-1.1408129674905796,-1.1629838172964582,-1.1338556810172866,-1.1003006260773824,-1.0949149382665322,-1.0967630403392985,-1.093248420172029,-1.085362243017525,-1.0792125681210407,-1.0764349040896408,-1.0764524146184782,-1.1014929863790937,-1.068643371070647,-1.022929682763012,-1.0213402871994852,-1.0300666073984204,-1.0294430147496456,-1.024917089733798,-1.020162891183762,-1.015101222066622,-1.016168058494709,,,,,,,,
2009-11-05,2.5758588625849344,3.725452434344777,3.255581840356472,2.5252325212595657,5.259945493028436,6.9722594245288745,-1.7550151905528006,-1.7640773894349258,-1.742989993798334,-1.7381479145521217,-1.7431366239290782,-1.7424296337222094,-1.7458986388675597,-1.7434430477739786,-1.7043070223276675,-1.6848779710688837,-1.675503762043666,-1.6738991188614292,-1.657424907221315,-1.646790758440926,-1.641438066295238,-1.632973185559743,-1.623874703255099,-1.6162233478066228,-1.589937923073175,-1.574981893917113,-1.594495116129202,-1.5841951153980376,-1.5691120162549457,-1.5550402497212337,-1.5438013067638712,-1.5309066506919775,-1.5144100622111771,-1.5040147269591808,-1.4865095293714634,-1.4748067826436049,-1.5127828142177095,-1.495485477816489,-1.4792929996139257,-1.4636648190156314,-1.4500011347991026,-1.4351944904559388,-1.4150986357100797,-1.4037130198031824,-1.3920483216469657,-1.3826929878561658,-1.4310026935765057,-1.408150144932488,-1.3889567950222224,-1.3732408455323193,-1.3598152779825308,-1.3450112603249855,-1.3241662839544377,-1.3130878195057896,-1.305071553003636,-1.2973740282437398,-1.3496538074123263,-1.3224578824895643,-1.2988705428989225,-1.2841891001306596,-1.2730291385121948,-1.2596878449357554,-1.2402672067891105,-1.2304825029633384,-1.2244368964285588,-1.217861410259863,-1.2691199235172583,-1.2385907020091245,-1.209614708320483,-1.1968070510814846,-1.189438480397465,-1.1786739102165846,-1.1623562616641334,-1.1546328737100269,-1.1492455958250232,-1.1433687636958692,-1.1896897252584144,-1.156663832221391,-1.121617325167168,-1.1112961517167237,-1.108850781841938,-1.1015110300327593,-1.08960557502212,-1.0845522393983162,-1.0787777836444965,-1.0732602130036724,-1.111574787184341,-1.076741717193126,-1.035184751973267,-1.0277841575591324,-1.0310857291117643,-1.0278130368388243,-1.0213481987520772,-1.019455703460507,-1.012447939582386,-1.0070142488533802,,,,,,,,
2009-11-06,2.636360840210365,3.716521371761872,3.257111437584719,2.5252325212595657,5.2607660591612095,6.974759507762611,-1.7978704904557326,-1.8026675251621944,-1.7742240051459066,-1.7632028568271887,-1.7657734904878326,-1.762728945050116,-1.7632399882611591,-1.758891235989577,-1.7138767000614592,-1.6906189875928257,-1.7175987794260856,-1.70903576820942,-1.6842311977330515,-1.6688931818591184,-1.6609152178965745,-1.6491828423297317,-1.6366261274910725,-1.6276272374953185,-1.5969198060542544,-1.5793575959847137,-1.6370577087948732,-1.6178647279153662,-1.5939783170371344,-1.575897207160942,-1.5618602952501923,-1.5451227673100123,-1.524815285627407,-1.5131960667866529,-1.4920590850189757,-1.4784766221272396,-1.5567684784455678,-1.529228119883682,-1.504169858667486,-1.4845961882882603,-1.467956313253661,-1.4489686593750812,-1.4247637794376216,-1.4119574537485693,-1.3970110579270902,-1.3861457448818226,-1.4771365890515733,-1.4431452465523742,-1.415334957788014,-1.3952491977049422,-1.3786593152572977,-1.3595088892950755,-1.334280121965398,-1.321340718698356,-1.3100834738737042,-1.300980385341319,-1.3984711166809276,-1.3595967225490808,-1.327860613308092,-1.3080219916408684,-1.293510512395306,-1.2757937742073135,-1.2517338679901395,-1.2394629489642903,-1.229987323613033,-1.2219077659504585,-1.3210022060911926,-1.278536227013879,-1.2420210011461292,-1.223010061033367,-1.2121190001883209,-1.1970649920860368,-1.1758790749835717,-1.1649036835955424,-1.1557180972733,-1.148079783092401,-1.2448963100743584,-1.199899215932119,-1.158002208320992,-1.1402566880984428,-1.1341487001096733,-1.1227072847477573,-1.1057421661313351,-1.0965649232038803,-1.0864777683067717,-1.0788143354473538,-1.1702690938185407,-1.1236093341669986,-1.0759224834121233,-1.0597668957288513,-1.0593083363307376,-1.0522145028250838,-1.0405479096399126,-1.0335804059807794,-1.0216218124130427,-1.0135546363165078,,,,,,,,
2009-11-09,2.6697181596299213,3.736333011136167,3.286852179877295,2.559550192783766,5.296751140656356,6.996754678544718,-1.8256350651998776,-1.8517483496984055,-1.8434871662606411,-1.827509945443444,-1.8228550717544532,-1.8134816227554995,-1.8040361330366264,-1.79411939554901,-1.7452095731379118,-1.7153394024559947,-1.7648362827047028,-1.7636773245998798,-1.7432623146102515,-1.7241196238271843,-1.7102042514721318,-1.6921822143449907,-1.6715560124636042,-1.657921447226168,-1.6212511082995615,-1.5973832008380082,-1.6943952219812488,-1.6735484219359087,-1.6449654509869511,-1.623698912495107,-1.6045700070659683,-1.5817781711347194,-1.5549235072428726,-1.539387672889832,-1.511180723838799,-1.4921083171294895,-1.6164537357018882,-1.5824882076452185,-1.5489259123048236,-1.5263489843668616,-1.505054850540327,-1.480337234759903,-1.4507836386269066,-1.4346142563214377,-1.4122174684181386,-1.3970720296554986,-1.532990174542593,-1.4913783274697785,-1.455347614502571,-1.4320915510163832,-1.4109299823329864,-1.3864039279060263,-1.3567456919042895,-1.3408657807240063,-1.322340228016719,-1.3104758717758695,-1.445736446314653,-1.400891232877511,-1.3643420557074124,-1.34089380331263,-1.3215947605160745,-1.2988543715245706,-1.2710457888549866,-1.256151014460502,-1.2400338738499577,-1.2309572696074844,-1.356145986683594,-1.3115268742206687,-1.2759536786894834,-1.25268649635296,-1.2365477498489057,-1.2168024839607832,-1.1923452549669675,-1.1789753027292778,-1.164133297314034,-1.1574591489684198,-1.265397404222553,-1.2236466005390776,-1.190179057889341,-1.1673769373905454,-1.1553655805550598,-1.139537175048459,-1.1196040597931352,-1.1081880794303784,-1.0937232623698572,-1.0891449250878875,-1.1744191369071555,-1.1375025840710422,-1.1069812478195804,-1.084858231940633,-1.0776872076018993,-1.066479002838428,-1.051998100751974,-1.0428847617227748,-1.0280716969472257,-1.02534114810662,,,,,,,,
2009-11-10,2.665288827200904,3.732266954906883,3.288334721082092,2.569247798221751,5.304264646367869,6.996690637265518,-1.7680430593845111,-1.7946716071347892,-1.7944604247907954,-1.7875708000035206,-1.788202971338781,-1.7810300409583617,-1.7772165195984082,-1.773420928865688,-1.7338504808187578,-1.7080691572536992,-1.730498770688488,-1.7282907774656258,-1.7121351069100088,-1.6967642592594565,-1.685324811856375,-1.6690928005584216,-1.6524057102067329,-1.6421945461665273,-1.6116315989940002,-1.591627437206741,-1.6771764313894193,-1.6533756260058152,-1.626172195911881,-1.605320671980139,-1.5867281129851054,-1.565231468950943,-1.5409843556701643,-1.527279281514219,-1.5033411251918003,-1.4876816709230312,-1.610531001442271,-1.5720116335432803,-1.5379549105052568,-1.5140600748399766,-1.4921455387729452,-1.4682438030811125,-1.4403139213214124,-1.4251862992155346,-1.4061887211349895,-1.3938404180942177,-1.533228846023727,-1.4860668482528137,-1.448608165572071,-1.4236024663840263,-1.401321450352353,-1.3771841463545171,-1.348466561775909,-1.3334401341664803,-1.3181471641853657,-1.308339318334512,-1.4478746679158707,-1.3971372794072994,-1.3590214672751983,-1.334404470905111,-1.3140146969971538,-1.2912947840325393,-1.2639907833385955,-1.2502206686378077,-1.237697185176641,-1.2298393645987469,-1.3568261566676292,-1.3065359202836615,-1.269880668306723,-1.2467924312825878,-1.2299998070447955,-1.2099588596063588,-1.185766379410634,-1.1741504678651429,-1.163670775092797,-1.1573002900115852,-1.2620978845454778,-1.2153096534878287,-1.1817018091227072,-1.160990700535324,-1.1490671895352675,-1.1326671999854454,-1.1129107014591453,-1.104161943545698,-1.09515061032631,-1.0898978195870828,-1.165335363101906,-1.1242707662858866,-1.0948631141403251,-1.0771449789613745,-1.0710227414120972,-1.0589943900103005,-1.0447158991847283,-1.0394108848667063,-1.0314030821880948,-1.0269677263724015,,,,,,,,
2009-11-11,2.6684566184417333,3.7356556869224056,3.30522965238622,2.566271559889606,5.305595814266734,7.001709995105943,-1.7382208261853234,-1.7718903332910452,-1.7708760271613984,-1.7658197264292286,-1.7680328407402,-1.7628741816287998,-1.7580662356114516,-1.750507841950603,-1.709904477353516,-1.6859734304281786,-1.7112742042024367,-1.7103372820275655,-1.692295317655459,-1.6792313237814005,-1.669092119434347,-1.653750420604984,-1.636381928999037,-1.624625815600716,-1.5936083726531776,-1.574055035232262,-1.6647898755010022,-1.6383573188137976,-1.6088964003232689,-1.5901960956952963,-1.5725663479759031,-1.5514673185492012,-1.527004630576675,-1.5130470337344593,-1.4889840189817871,-1.4730274957040397,-1.601381607520202,-1.5582992650979233,-1.5222543150057772,-1.499904273057404,-1.4786285552159604,-1.4551368850767348,-1.4275990935175404,-1.412871414245055,-1.3938628720229254,-1.38092662972985,-1.524189369134212,-1.4723350297659124,-1.433680880587443,-1.40929700741295,-1.3873650032706657,-1.3640400733818046,-1.3364383742317818,-1.322000319991532,-1.3066299291465782,-1.2962761068385904,-1.4364526140567235,-1.3823606904858312,-1.3442347467865032,-1.3190994173592572,-1.2987996851590256,-1.2775858437353185,-1.252209321939139,-1.2388660004362693,-1.2260500166247856,-1.2179381684595425,-1.3411897275080962,-1.2899587498385643,-1.2547474114640749,-1.2298563766650443,-1.2129126890266724,-1.195281991324977,-1.173890091602669,-1.1622663714831456,-1.1511572904346032,-1.1450174111141136,-1.241012554163639,-1.1964029273537726,-1.1658559776086326,-1.1419665699316226,-1.1296538181228364,-1.116713891819351,-1.1006698725951325,-1.091259454992382,-1.0811822097450507,-1.0767964931178482,-1.1380577746495413,-1.102687540082048,-1.0780367167610854,-1.0557126232685483,-1.048952605534042,-1.041528711239481,-1.0318944936066583,-1.0250933590263571,-1.0155016975721605,-1.0126918417497095,,,,,,,,
2009-11-12,2.663387507196017,3.712373788079543,3.304135668819024,2.5489997592445146,5.299376805144727,6.99139765391878,-1.67836542201193,-1.7034467092919705,-1.699704079847338,-1.7030436052871951,-1.7087123095185912,-1.7081108825736668,-1.7055997781139605,-1.6999216967601416,-1.6666598050300054,-1.6493219102025412,-1.6456135093654678,-1.6462276598669714,-1.6326873880137427,-1.624880343810799,-1.6180870431920542,-1.6079142252851082,-1.5949958321959827,-1.5856954328528794,-1.5611358275415606,-1.546990524988816,-1.597459794533948,-1.5788914989344056,-1.5578448788076056,-1.5427853005101209,-1.5283765809454637,-1.5124656920453825,-1.4933794366671824,-1.4820541001694951,-1.463742355986189,-1.4519327470411516,-1.5360647752607464,-1.5035550349186682,-1.477118160281175,-1.4581036786175623,-1.4399973548904053,-1.4213383222522409,-1.3992896413441898,-1.3871202354353784,-1.373217524041958,-1.3630889424380124,-1.4638525136526557,-1.422211288370257,-1.3922343393306744,-1.3719495397324026,-1.3532451664790048,-1.3341599403721442,-1.3115986828200246,-1.2994767516300725,-1.2885754536074925,-1.2796192704595917,-1.3832560535457965,-1.3366326772489303,-1.304663868448046,-1.2852200749228393,-1.2683216047284762,-1.2506042187243072,-1.2294176426848864,-1.2180276992271215,-1.2090310787806984,-1.2008466147442929,-1.296531576875235,-1.248326619424506,-1.215615220036272,-1.1986203044002466,-1.1853557219639967,-1.1703834815497158,-1.1520333078572356,-1.1419079878361444,-1.1339489489958563,-1.1262169247578666,-1.2056502908228246,-1.1585298980268914,-1.1260526782702018,-1.112691650693503,-1.104421422114135,-1.09324286067029,-1.0788646136819016,-1.0704227597061862,-1.062807380327746,-1.0552709578659476,-1.1122563762187114,-1.0682272831832536,-1.03672599079409,-1.0278402767504728,-1.0255511859277566,-1.0189555105941397,-1.0094318048903814,-1.003005445076302,-0.9951727441625866,-0.9876237014468668,,,,,,,,
2009-11-13,2.657654749147522,3.703092961928505,3.346255333397864,2.547482308270481,5.311480353074318,6.997120550054727,-1.7133373468261843,-1.7384683175523992,-1.7259898357263137,-1.7270305358504905,-1.732625224073752,-1.7289763622943009,-1.726633607911749,-1.722018636163065,-1.6787330352786252,-1.657754860366444,-1.687524077310219,-1.679957382819238,-1.6560780749277535,-1.645582881246953,-1.637087863074837,-1.6239285261361134,-1.6095420370370628,-1.6002261643315616,-1.5704104763109414,-1.553883543925775,-1.6420482935705154,-1.6101687533143365,-1.578566988824944,-1.5605770209451428,-1.543527958278059,-1.5247560608674775,-1.5033302157451622,-1.4913090964812288,-1.4705231002436885,-1.457177032380931,-1.5794825329334,-1.5315266424733245,-1.495440991828746,-1.473352654106411,-1.4521750428135718,-1.4307893226683843,-1.406049538053954,-1.3927716895541238,-1.377744710419792,-1.3666139231173329,-1.5029508057017655,-1.4463148726288235,-1.4084420766235812,-1.3850020828957788,-1.363166409365541,-1.341471524818938,-1.3162340713566187,-1.3027803101991964,-1.2910430845543264,-1.2813815633294223,-1.415697886350724,-1.3565539952459826,-1.319035498810279,-1.296391712292243,-1.2765711407329372,-1.2563341994381405,-1.2327531833381606,-1.219948138831394,-1.2095988632503207,-1.2008224912253551,-1.3207614287930738,-1.2639468075062303,-1.228411811899369,-1.2081920010978102,-1.1924086039476791,-1.1749790561568132,-1.15471644935877,-1.1432008411903638,-1.132750626437513,-1.124397044083408,-1.2207791527263196,-1.1698736820426316,-1.137510551326988,-1.1209095140736,-1.1106625067932985,-1.0970643245025131,-1.081410051452177,-1.071689210013723,-1.0599566235183897,-1.0516566073458429,-1.1179147027744296,-1.0754181022968263,-1.047054095151876,-1.0349173532013909,-1.031291480244204,-1.0222943046665405,-1.012252927762835,-1.0047303499290243,-0.9907674420431568,-0.9822240643481204,,,,,,,,
